iter	Passed	Remaining
0	145	145668
1	146	73325
2	148	49188
3	149	37160
4	154	30690
5	155	25793
6	158	22423
7	160	19934
8	163	17973
9	164	16260
10	166	14986
11	168	13865
12	170	12918
13	171	12065
14	173	11424
15	175	10771
16	176	10192
17	177	9665
18	180	9318
19	181	8911
20	183	8557
21	184	8214
22	186	7905
23	187	7631
24	191	7459
25	192	7220
26	193	6988
27	195	6774
28	196	6585
29	198	6410
30	200	6251
31	200	6076
32	201	5916
33	203	5787
34	207	5711
35	208	5581
36	211	5491
37	212	5371
38	213	5254
39	215	5160
40	216	5057
41	217	4960
42	222	4945
43	223	4859
44	224	4773
45	226	4693
46	227	4617
47	229	4549
48	230	4480
49	232	4422
50	234	4359
51	235	4289
52	236	4220
53	237	4155
54	238	4095
55	239	4037
56	241	3995
57	242	3941
58	243	3885
59	244	3831
60	248	3824
61	250	3792
62	252	3752
63	254	3728
64	256	3687
65	258	3652
66	259	3610
67	260	3572
68	265	3583
69	266	3546
70	268	3516
71	269	3478
72	270	3440
73	272	3404
74	273	3377
75	275	3349
76	276	3315
77	278	3288
78	280	3264
79	281	3236
80	283	3220
81	284	3189
82	285	3153
83	286	3127
84	287	3098
85	288	3068
86	289	3039
87	291	3017
88	293	3005
89	295	2983
90	296	2959
91	297	2937
92	298	2911
93	299	2891
94	300	2866
95	301	2841
96	302	2817
97	303	2795
98	305	2777
99	306	2762
100	308	2749
101	310	2733
102	312	2717
103	312	2695
104	313	2674
105	314	2655
106	315	2634
107	316	2614
108	317	2596
109	318	2577
110	322	2584
111	324	2570
112	325	2553
113	326	2535
114	327	2517
115	328	2502
116	329	2487
117	330	2471
118	331	2454
119	332	2437
120	335	2439
121	337	2426
122	338	2411
123	339	2395
124	339	2379
125	341	2365
126	341	2349
127	342	2334
128	343	2319
129	344	2304
130	345	2289
131	346	2275
132	347	2262
133	348	2254
134	350	2242
135	350	2229
136	351	2216
137	352	2204
138	353	2191
139	354	2178
140	355	2166
141	356	2152
142	357	2140
143	357	2127
144	358	2115
145	359	2104
146	360	2092
147	361	2082
148	364	2079
149	365	2072
150	367	2065
151	368	2056
152	369	2045
153	370	2034
154	371	2023
155	372	2014
156	373	2003
157	374	1994
158	375	1984
159	376	1974
160	376	1963
161	378	1955
162	380	1952
163	381	1944
164	382	1936
165	383	1927
166	384	1919
167	385	1910
168	386	1901
169	387	1892
170	388	1883
171	389	1874
172	390	1865
173	391	1859
174	393	1854
175	395	1849
176	396	1841
177	397	1835
178	398	1827
179	399	1821
180	400	1812
181	401	1804
182	402	1796
183	403	1790
184	404	1782
185	406	1777
186	407	1773
187	409	1767
188	410	1760
189	413	1761
190	414	1754
191	415	1746
192	416	1740
193	417	1732
194	418	1727
195	419	1720
196	421	1717
197	423	1715
198	425	1711
199	426	1707
200	438	1744
201	440	1738
202	443	1739
203	445	1738
204	447	1734
205	448	1728
206	452	1732
207	454	1729
208	456	1726
209	458	1724
210	459	1719
211	461	1713
212	462	1709
213	463	1704
214	465	1698
215	466	1693
216	467	1688
217	468	1681
218	470	1676
219	471	1670
220	472	1664
221	473	1658
222	474	1652
223	475	1648
224	476	1642
225	478	1637
226	479	1633
227	480	1628
228	482	1624
229	484	1620
230	488	1624
231	489	1619
232	490	1614
233	491	1608
234	492	1603
235	495	1603
236	497	1602
237	499	1600
238	501	1596
239	503	1593
240	504	1587
241	505	1582
242	506	1578
243	518	1605
244	519	1600
245	530	1625
246	531	1621
247	533	1616
248	534	1611
249	535	1605
250	535	1599
251	537	1595
252	539	1592
253	542	1593
254	546	1596
255	549	1597
256	552	1596
257	553	1593
258	555	1588
259	560	1593
260	562	1591
261	568	1600
262	569	1595
263	570	1591
264	572	1586
265	583	1609
266	585	1606
267	587	1604
268	590	1605
269	603	1632
270	606	1632
271	607	1626
272	609	1621
273	617	1635
274	618	1630
275	619	1625
276	624	1630
277	633	1644
278	634	1640
279	635	1635
280	637	1630
281	638	1625
282	639	1619
283	640	1615
284	643	1613
285	646	1615
286	648	1610
287	649	1606
288	650	1601
289	652	1596
290	653	1591
291	653	1585
292	655	1580
293	656	1575
294	657	1572
295	658	1567
296	659	1562
297	660	1557
298	661	1551
299	664	1549
300	665	1545
301	667	1542
302	668	1537
303	670	1536
304	674	1537
305	675	1532
306	676	1528
307	678	1523
308	678	1518
309	679	1512
310	680	1507
311	681	1502
312	682	1498
313	683	1493
314	684	1488
315	688	1489
316	689	1486
317	692	1485
318	695	1484
319	696	1480
320	697	1475
321	698	1471
322	700	1467
323	702	1465
324	704	1463
325	705	1459
326	706	1455
327	707	1450
328	708	1445
329	710	1441
330	710	1437
331	711	1432
332	712	1428
333	713	1423
334	716	1421
335	718	1419
336	719	1415
337	720	1411
338	721	1407
339	722	1402
340	723	1398
341	724	1394
342	725	1390
343	726	1386
344	728	1382
345	729	1379
346	730	1375
347	732	1372
348	733	1368
349	735	1365
350	736	1361
351	737	1356
352	737	1352
353	738	1348
354	739	1344
355	740	1340
356	742	1336
357	742	1332
358	744	1329
359	745	1326
360	747	1322
361	748	1318
362	749	1315
363	750	1311
364	751	1307
365	752	1302
366	752	1298
367	753	1294
368	754	1290
369	755	1286
370	756	1282
371	756	1277
372	757	1273
373	758	1270
374	760	1266
375	761	1262
376	761	1259
377	763	1255
378	764	1251
379	765	1248
380	766	1244
381	766	1240
382	767	1236
383	768	1233
384	769	1229
385	770	1225
386	771	1221
387	773	1219
388	774	1216
389	775	1213
390	777	1210
391	779	1208
392	780	1205
393	782	1203
394	783	1200
395	784	1197
396	787	1195
397	789	1193
398	790	1190
399	791	1187
400	792	1183
401	793	1180
402	794	1176
403	795	1173
404	796	1169
405	796	1165
406	798	1163
407	799	1159
408	800	1157
409	802	1154
410	803	1151
411	804	1147
412	804	1144
413	805	1140
414	806	1136
415	807	1133
416	808	1129
417	809	1126
418	809	1123
419	810	1119
420	811	1116
421	812	1112
422	813	1109
423	815	1107
424	816	1105
425	818	1102
426	819	1099
427	820	1097
428	821	1094
429	823	1091
430	824	1088
431	825	1084
432	826	1081
433	826	1078
434	828	1075
435	830	1074
436	831	1071
437	833	1068
438	834	1065
439	835	1063
440	836	1060
441	837	1057
442	838	1053
443	839	1050
444	840	1048
445	841	1045
446	842	1042
447	843	1039
448	845	1037
449	846	1034
450	847	1031
451	848	1028
452	849	1025
453	850	1022
454	851	1019
455	852	1016
456	853	1013
457	854	1010
458	855	1007
459	855	1004
460	857	1002
461	858	1000
462	860	998
463	861	995
464	862	992
465	864	990
466	865	987
467	866	984
468	867	981
469	868	978
470	869	976
471	871	974
472	872	971
473	872	968
474	874	967
475	876	964
476	877	962
